Position,Club,Country,Participated,Titles,Played,Win,Draw,Loss,Goals For,Goals Against,Pts,Goal Diff
1,Real Madrid CF,ESP,53,14,476,285,81,110,1047,521,651.0,526.0
2,FC Bayern München,GER,39,6,382,229,76,77,804,373,534.0,431.0
3,FC Barcelona,ESP,33,5,339,197,76,66,667,343,470.0,324.0
4,Manchester United,ENG,30,3,293,160,69,64,533,284,389.0,249.0
5,Juventus,ITA,37,2,301,153,70,78,479,301,376.0,178.0
6,Liverpool FC,ENG,27,6,248,142,50,56,472,228,334.0,244.0
7,AC Milan,ITA,30,7,267,131,68,68,437,251,330.0,186.0
8,SL Benfica,POR,42,2,287,130,67,90,475,334,327.0,141.0
9,FC Porto,POR,37,2,269,121,61,87,395,304,303.0,91.0
10,AFC Ajax,NED,39,4,247,112,64,71,396,282,288.0,114.0
11,FC Dynamo Kyiv,UKR,39,0,254,104,55,95,350,315,263.0,35.0
12,Chelsea FC,ENG,19,2,201,104,53,44,342,181,261.0,161.0
13,FC Internazionale Milano,ITA,24,3,205,98,54,53,290,204,250.0,86.0
14,Arsenal FC,ENG,21,0,201,101,43,57,332,218,245.0,114.0
15,Celtic FC,SCO,37,1,222,101,39,82,337,270,241.0,67.0
16,Borussia Dortmund,GER,21,1,170,81,33,56,287,214,195.0,73.0
17,Club Atlético de Madrid,ESP,18,0,160,76,42,42,226,152.0,194.0,74.0
18,RSC Anderlecht,BEL,34,0,200,70,44,86,282,320,184.0,-38.0
19,PSV Eindhoven,NED,30,1,187,69,44,74,249,234,182.0,15.0
20,Paris Saint-Germain,FRA,16,0,143,77,27,39,283,166,181.0,117.0
21,FK Crvena zvezda,SRB,28,1,151,70,33,48,278,203,173.0,75.0
22,Rangers FC,SCO,32,0,173,64,41,68,242,248,169.0,-6.0
23,Olympiacos FC,GRE,35,0,186,66,36,84,222,283,168.0,-61.0
24,Olympique Lyonnais,FRA,18,0,148,65,37,46,232,178,167.0,54.0
25,GNK Dinamo Zagreb,CRO,24,0,156,65,32,59,230,217,162.0,13.0
26,Galatasaray AŞ,TUR,27,0,177,57,43,77,215,279,157.0,-64.0
27,Manchester City FC,ENG,13,1,119,66,24,29,245,131,156.0,114.0
28,FC Shakhtar Donetsk,UKR,23,0,152,58,36,58,214,231,152.0,-17.0
29,Valencia CF,ESP,13,0,128,57,35,36,191,130,149.0,61.0
30,Rosenborg BK,NOR,25,0,152,58,31,63,224,232,147.0,-8.0
31,FCSB,ROU,26,1,145,52,41,52,203,204,145.0,-1.0
32,Panathinaikos FC,GRE,28,0,157,49,45,63,182,214,143.0,-32.0
33,AC Sparta Praha,CZE,28,0,146,54,30,62,190,203,138.0,-13.0
34,FC Basel 1893,SUI,21,0,118,47,23,48,170,192,117.0,-22.0
35,AS Monaco FC,FRA,18,0,118,46,24,48,185,159,116.0,26.0
36,Club Brugge,BEL,23,0,127,43,30,54,157,186,116.0,-29.0
37,Bayer 4 Leverkusen,GER,13,0,117,43,26,48,171,180,112.0,-9.0
38,Olympique de Marseille,FRA,16,1,114,46,19,49,161,139,111.0,22.0
39,FC Spartak Moskva,RUS,21,0,124,40,31,53,173,193,111.0,-20.0
40,AS Roma,ITA,13,0,110,41,27,42,148,158,109.0,-10.0
41,FK Partizan,SRB,22,0,105,41,24,40,161,133,106.0,28.0
42,FC BATE Borisov,BLR,15,0,100,36,30,34,111,138,102.0,-27.0
43,F.C. Copenhagen,DEN,16,0,94,38,23,33,126,113,99.0,13.0
44,PFC CSKA Sofia,BUL,25,0,98,41,16,41,140,144,98.0,-4.0
45,FC Salzburg,AUT,18,0,86,35,22,29,125,115,92.0,10.0
46,PFC CSKA Moskva,RUS,15,0,104,34,24,46,125,155,92.0,-30.0
47,Feyenoord,NED,17,1,89,34,23,32,147,116,91.0,31.0
48,Legia Warszawa,POL,15,0,76,37,15,24,106,91,89.0,15.0
49,Malmö FF,SWE,19,0,95,33,23,39,103,148,89.0,-45.0
